                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.80923,                 0.4822,                 1.0181,                0.97464,                0.95497,                0.97344,                0.78756,                0.74533,                0.71328,                 1.0323,              0.0018654,              0.0018654,              0.0018654
                     37,                0.78604,                0.47546,                 1.0138,                0.97454,                0.95098,                0.95565,                0.76637,                0.82292,                 1.1222,                 1.0783,              0.0018614,              0.0018614,              0.0018614
                     38,                 0.7771,                0.46173,                 1.0225,                0.96979,                 0.9969,                 0.9887,                0.80051,                0.80009,                0.56307,                 1.0531,              0.0018574,              0.0018574,              0.0018574
                     39,                0.76954,                0.46439,                  1.002,                 0.9817,                0.99986,                0.98382,                 0.8218,                0.74938,                0.46429,                  1.022,              0.0018535,              0.0018535,              0.0018535
                     40,                0.77093,                0.45743,                 1.0034,                0.98166,                      1,                0.98565,                 0.8043,                0.74962,                0.44487,                 1.0175,              0.0018495,              0.0018495,              0.0018495
                     41,                0.76749,                0.45395,                 1.0088,                0.97513,                      1,                0.98343,                0.80991,                0.73503,                0.43137,                 1.0437,              0.0018456,              0.0018456,              0.0018456
                     42,                0.77406,                0.46434,                 1.0002,                0.97848,                      1,                0.98093,                0.81042,                0.73591,                0.47676,                 1.0202,              0.0018416,              0.0018416,              0.0018416
                     43,                 0.7684,                0.46855,                 1.0044,                0.95524,                      1,                0.97005,                 0.7926,                0.70339,                0.56699,                 1.0124,              0.0018376,              0.0018376,              0.0018376
                     44,                0.75954,                0.46485,                 1.0033,                0.97573,                0.99894,                0.99038,                0.79766,                0.78461,                0.60496,                 1.0473,              0.0018337,              0.0018337,              0.0018337
                     45,                0.76463,                0.46136,                 1.0193,                0.98099,                      1,                0.98301,                0.81395,                0.69977,                0.49371,                 1.0391,              0.0018297,              0.0018297,              0.0018297
                     46,                0.76565,                0.45988,                 1.0058,                0.97475,                      1,                0.98239,                0.80599,                0.75518,                 0.4974,                 1.0193,              0.0018258,              0.0018258,              0.0018258
                     47,                0.74794,                0.45029,                 1.0112,                0.98067,                      1,                 0.9829,                0.81301,                0.71817,                0.44073,                 1.0057,              0.0018218,              0.0018218,              0.0018218
                     48,                0.76413,                 0.4513,                 1.0074,                0.97983,                      1,                0.98248,                0.81904,                0.65946,                0.62832,                 0.9821,              0.0018178,              0.0018178,              0.0018178
                     49,                0.74006,                0.42801,                0.99771,                 0.9817,                0.99969,                0.98278,                0.82603,                0.72164,                0.42028,                 1.0247,              0.0018139,              0.0018139,              0.0018139
                     50,                0.74339,                0.44445,                0.99665,                0.98171,                0.99988,                0.98677,                0.84546,                0.68472,                0.42816,                0.99226,              0.0018099,              0.0018099,              0.0018099
                     51,                0.70958,                0.42672,                0.98528,                0.98029,                      1,                0.98919,                0.82978,                0.67518,                0.43723,                0.98935,               0.001806,               0.001806,               0.001806
                     52,                0.71773,                 0.4321,                0.98031,                0.98167,                0.99803,                0.99304,                0.83288,                0.69732,                 1.2542,                0.99273,               0.001802,               0.001802,               0.001802
                     53,                0.71064,                0.43239,                0.97779,                0.97431,                      1,                0.98076,                0.79185,                0.75703,                0.68402,                 1.0173,               0.001798,               0.001798,               0.001798
                     54,                0.70477,                0.42277,                0.97549,                0.98074,                      1,                0.98227,                0.82698,                0.67816,                 0.4119,                0.97856,              0.0017941,              0.0017941,              0.0017941
                     55,                 0.7342,                 0.4273,                0.99353,                0.98103,                      1,                0.98179,                0.81935,                0.70537,                0.40771,                0.99374,              0.0017901,              0.0017901,              0.0017901
                     56,                0.74398,                0.43757,                0.98886,                0.98127,                      1,                0.98624,                0.85239,                0.64619,                 0.4007,                0.96529,              0.0017862,              0.0017862,              0.0017862
                     57,                0.71657,                 0.4232,                0.99309,                0.98131,                      1,                0.98158,                0.83972,                0.64838,                0.40062,                0.95427,              0.0017822,              0.0017822,              0.0017822
                     58,                0.70931,                0.41707,                0.96772,                0.98127,                      1,                0.98325,                0.84087,                0.66102,                0.40196,                0.97424,              0.0017782,              0.0017782,              0.0017782
                     59,                0.71105,                0.41923,                0.97559,                0.98144,                      1,                0.98618,                0.82685,                0.67702,                0.43101,                0.97564,              0.0017743,              0.0017743,              0.0017743
                     60,                0.71887,                0.42251,                0.97069,                0.97075,                0.98758,                0.98501,                0.83615,                0.71415,                0.50569,                 1.0171,              0.0017703,              0.0017703,              0.0017703
                     61,                 0.7543,                0.43344,                0.98176,                0.98082,                      1,                 0.9824,                0.82787,                0.68861,                0.42294,                  1.008,              0.0017664,              0.0017664,              0.0017664
                     62,                0.70719,                0.41619,                0.96729,                0.97992,                      1,                0.98675,                0.82865,                0.70013,                0.42461,                0.98019,              0.0017624,              0.0017624,              0.0017624
                     63,                0.69655,                0.41164,                 0.9683,                0.98168,                 0.9984,                0.98078,                0.81219,                0.69294,                0.52132,                0.97858,              0.0017584,              0.0017584,              0.0017584
                     64,                0.69879,                0.41688,                0.96623,                0.97733,                0.99379,                0.98077,                0.81215,                0.71267,                0.55412,                 1.0096,              0.0017545,              0.0017545,              0.0017545
                     65,                0.68931,                0.41374,                0.96597,                0.98121,                      1,                0.98629,                0.82038,                   0.72,                 0.4143,                0.97857,              0.0017505,              0.0017505,              0.0017505
                     66,                0.69324,                0.41214,                0.98526,                 0.9749,                0.72366,                0.75472,                0.61319,                0.85395,                 1.5891,                 1.1573,              0.0017466,              0.0017466,              0.0017466
                     67,                0.71937,                0.41715,                0.99159,                 0.9817,                0.99955,                0.98897,                0.81698,                0.73896,                0.42318,                 1.0249,              0.0017426,              0.0017426,              0.0017426
                     68,                 0.6957,                0.40992,                0.97081,                0.98123,                      1,                0.99011,                0.83062,                0.68799,                0.40116,                0.98854,              0.0017386,              0.0017386,              0.0017386
                     69,                0.72904,                0.41162,                0.97567,                0.97562,                      1,                0.98465,                  0.831,                0.68093,                0.40579,                0.98706,              0.0017347,              0.0017347,              0.0017347
                     70,                0.71476,                0.42139,                0.97699,                0.98152,                      1,                 0.9884,                0.82715,                0.72128,                0.42855,                0.98883,              0.0017307,              0.0017307,              0.0017307
                     71,                0.68453,                0.40819,                0.95515,                0.98097,                      1,                0.98075,                0.84146,                0.63891,                0.38855,                 0.9563,              0.0017268,              0.0017268,              0.0017268
                     72,                0.67513,                0.39848,                0.95513,                0.98133,                      1,                0.98355,                0.85216,                0.59667,                0.36595,                0.93727,              0.0017228,              0.0017228,              0.0017228
                     73,                 0.6819,                0.40152,                0.95773,                0.98025,                      1,                0.98202,                0.82911,                0.68599,                0.41402,                0.98453,              0.0017188,              0.0017188,              0.0017188
                     74,                0.69954,                0.40547,                0.97269,                0.98124,                      1,                0.98569,                 0.8387,                0.64564,                0.40124,                0.95869,              0.0017149,              0.0017149,              0.0017149
                     75,                0.66368,                 0.3931,                0.95054,                0.98064,                      1,                0.98128,                0.82893,                0.66293,                0.37822,                0.96083,              0.0017109,              0.0017109,              0.0017109
                     76,                0.69867,                0.40158,                0.95699,                0.98106,                      1,                0.98427,                 0.8437,                0.63826,                0.38131,                0.96177,               0.001707,               0.001707,               0.001707
                     77,                0.66878,                0.39099,                0.94754,                0.98116,                      1,                0.98001,                0.83008,                0.64988,                 0.3889,                 0.9602,               0.001703,               0.001703,               0.001703
                     78,                0.68934,                0.39794,                0.96183,                0.97986,                      1,                0.97762,                0.81647,                0.71797,                0.40623,                0.98208,               0.001699,               0.001699,               0.001699
                     79,                 0.6846,                0.39447,                 0.9732,                0.98124,                      1,                0.98785,                0.86602,                0.61471,                 0.3655,                0.94059,              0.0016951,              0.0016951,              0.0016951
                     80,                0.68902,                0.39667,                0.96662,                0.98095,                      1,                0.98676,                0.82671,                0.69348,                0.39219,                0.99294,              0.0016911,              0.0016911,              0.0016911
                     81,                0.67838,                0.38972,                0.96173,                0.98085,                      1,                0.97754,                0.80573,                0.69371,                0.47121,                 0.9801,              0.0016872,              0.0016872,              0.0016872
                     82,                0.68726,                0.39017,                0.95341,                0.98058,                      1,                0.98528,                0.83634,                0.66231,                0.41529,                0.97422,              0.0016832,              0.0016832,              0.0016832
                     83,                0.68983,                0.39861,                0.95995,                 0.9817,                0.99972,                0.98886,                0.82287,                0.69805,                0.40893,                0.98553,              0.0016792,              0.0016792,              0.0016792
                     84,                0.67934,                0.39669,                0.95659,                0.97791,                      1,                0.98119,                0.83306,                0.64017,                0.54931,                0.95737,              0.0016753,              0.0016753,              0.0016753
                     85,                0.68982,                0.39283,                 0.9462,                0.97773,                      1,                 0.9841,                 0.8326,                 0.6928,                0.41864,                0.98417,              0.0016713,              0.0016713,              0.0016713
                     86,                0.68094,                0.39519,                0.95016,                 0.9796,                      1,                0.98152,                0.85772,                0.61328,                0.36612,                 0.9486,              0.0016674,              0.0016674,              0.0016674
                     87,                0.65815,                0.38682,                 0.9558,                0.97353,                      1,                0.98852,                0.82019,                0.65795,                 0.4332,                0.97888,              0.0016634,              0.0016634,              0.0016634
                     88,                0.67237,                0.38921,                0.95476,                0.98169,                0.99913,                0.97996,                0.83175,                0.68448,                0.42281,                0.96291,              0.0016594,              0.0016594,              0.0016594
                     89,                0.68402,                0.39323,                0.96178,                0.97986,                      1,                0.99065,                0.84063,                0.63656,                0.38634,                0.93537,              0.0016555,              0.0016555,              0.0016555
                     90,                 0.6495,                0.37747,                0.94248,                0.98079,                      1,                   0.98,                0.84994,                0.59639,                0.37064,                0.92244,              0.0016515,              0.0016515,              0.0016515
                     91,                0.67021,                0.38483,                0.94604,                0.98093,                      1,                0.98809,                0.83793,                0.63785,                0.39561,                0.95385,              0.0016476,              0.0016476,              0.0016476
                     92,                 0.6692,                0.38981,                0.95675,                  0.981,                      1,                0.98136,                0.82989,                0.67091,                0.47097,                 0.9582,              0.0016436,              0.0016436,              0.0016436
                     93,                0.66607,                0.38973,                0.94363,                0.98122,                      1,                 0.9883,                0.83274,                0.65022,                0.40568,                0.97377,              0.0016396,              0.0016396,              0.0016396
                     94,                0.66313,                0.38045,                0.94991,                0.98131,                      1,                0.98701,                 0.8547,                0.63762,                 0.3462,                0.95121,              0.0016357,              0.0016357,              0.0016357
                     95,                0.66717,                 0.3838,                0.95869,                0.98113,                      1,                0.98597,                0.85738,                0.62214,                0.35442,                0.93622,              0.0016317,              0.0016317,              0.0016317
                     96,                0.67857,                 0.3905,                 0.9643,                0.98126,                      1,                 0.9823,                0.83952,                0.66062,                0.38011,                0.97471,              0.0016278,              0.0016278,              0.0016278
                     97,                0.66516,                0.38916,                0.94322,                0.98089,                      1,                0.98343,                0.81654,                0.66706,                0.37275,                0.94737,              0.0016238,              0.0016238,              0.0016238
                     98,                0.65185,                0.37836,                0.94377,                0.98126,                      1,                0.97964,                0.83081,                0.64776,                0.37845,                0.94459,              0.0016198,              0.0016198,              0.0016198
                     99,                0.66446,                0.38204,                0.94518,                0.98126,                      1,                0.97744,                0.83125,                0.65775,                0.41896,                0.96617,              0.0016159,              0.0016159,              0.0016159
                    100,                 0.6544,                0.37942,                0.94211,                0.97982,                      1,                0.98479,                0.84877,                 0.6519,                0.39096,                0.93913,              0.0016119,              0.0016119,              0.0016119
                    101,                0.64131,                0.37126,                0.93957,                0.98128,                      1,                0.98431,                0.82732,                0.64081,                0.36835,                0.97138,               0.001608,               0.001608,               0.001608
                    102,                0.64663,                0.36919,                0.94299,                0.98154,                      1,                0.98753,                0.85579,                0.63767,                0.37093,                0.93742,               0.001604,               0.001604,               0.001604
                    103,                0.65169,                0.37428,                0.95153,                0.97869,                      1,                0.99099,                0.83101,                0.67877,                0.39961,                0.98145,                 0.0016,                 0.0016,                 0.0016
                    104,                0.67076,                0.39277,                0.95565,                0.98064,                      1,                 0.9815,                0.85384,                0.63902,                0.37606,                0.94061,              0.0015961,              0.0015961,              0.0015961
                    105,                0.64545,                0.37382,                 0.9333,                0.98114,                      1,                 0.9826,                0.86195,                0.60453,                0.36101,                0.92421,              0.0015921,              0.0015921,              0.0015921
                    106,                0.63744,                 0.3676,                0.93214,                0.98041,                      1,                 0.9862,                0.85561,                0.62543,                0.33958,                0.93349,              0.0015882,              0.0015882,              0.0015882
                    107,                  0.629,                0.35921,                 0.9276,                0.98088,                      1,                 0.9879,                 0.8629,                0.60556,                0.35534,                 0.9212,              0.0015842,              0.0015842,              0.0015842
                    108,                0.65276,                0.36053,                0.92598,                0.98095,                      1,                0.99058,                0.84697,                0.63406,                0.35105,                0.96023,              0.0015802,              0.0015802,              0.0015802
                    109,                 0.6474,                0.37277,                 0.9455,                0.98107,                      1,                0.97744,                0.84586,                   0.65,                0.35079,                0.94439,              0.0015763,              0.0015763,              0.0015763
                    110,                0.64042,                0.36672,                0.92824,                0.98116,                      1,                0.98707,                0.85555,                0.59326,                0.33768,                0.91331,              0.0015723,              0.0015723,              0.0015723
                    111,                0.65569,                0.37871,                0.93155,                0.96132,                0.98758,                0.98279,                0.80936,                 0.7124,                0.80275,                0.97165,              0.0015684,              0.0015684,              0.0015684
                    112,                 0.6353,                0.35977,                0.93583,                0.98128,                      1,                0.98751,                0.85871,                0.63909,                0.35806,                0.94121,              0.0015644,              0.0015644,              0.0015644
                    113,                0.66524,                0.37297,                0.93078,                0.98124,                      1,                 0.9824,                0.87099,                 0.6267,                0.34313,                0.93022,              0.0015604,              0.0015604,              0.0015604
                    114,                0.63648,                0.36692,                0.93231,                0.98117,                      1,                0.98775,                0.85706,                0.62724,                0.35215,                0.93521,              0.0015565,              0.0015565,              0.0015565
                    115,                0.60788,                0.35425,                0.91662,                0.98029,                      1,                0.98505,                0.85676,                0.60749,                0.35156,                0.91837,              0.0015525,              0.0015525,              0.0015525
                    116,                0.64559,                0.36336,                0.93894,                0.98112,                      1,                0.98293,                0.85295,                0.60323,                0.35089,                0.91202,              0.0015486,              0.0015486,              0.0015486
                    117,                0.63321,                0.36008,                0.93371,                0.97744,                      1,                 0.9823,                0.85107,                0.65262,                0.36642,                0.94755,              0.0015446,              0.0015446,              0.0015446
                    118,                0.64466,                0.36016,                  0.931,                0.95606,                      1,                 0.9711,                0.83195,                0.63985,                0.37619,                0.92973,              0.0015406,              0.0015406,              0.0015406
                    119,                0.65281,                0.36487,                0.92842,                0.98124,                      1,                0.98132,                0.84459,                0.61101,                0.34096,                0.93051,              0.0015367,              0.0015367,              0.0015367
