                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4775,                 1.5529,                 1.3326,                 0.5925,                0.89705,                0.79661,                0.45489,                 1.4859,                 1.4786,                 1.4314,              0.0010458,              0.0010458,              0.0010458
                     36,                 1.3467,                 1.5123,                 1.2941,                0.62086,                0.88973,                 0.7627,                0.44095,                 1.5074,                 1.5116,                 1.4103,              0.0010396,              0.0010396,              0.0010396
                     37,                 1.4661,                 1.5959,                  1.365,                0.58938,                0.88095,                0.80288,                0.47213,                 1.4173,                 1.4168,                 1.4043,              0.0010334,              0.0010334,              0.0010334
                     38,                 1.3492,                  1.512,                 1.3512,                0.65935,                 0.8617,                0.84387,                0.51782,                 1.4065,                 1.1944,                 1.3669,              0.0010273,              0.0010273,              0.0010273
                     39,                  1.309,                  1.424,                  1.323,                0.78476,                0.66667,                0.83731,                0.50564,                  1.403,                 1.4104,                 1.3866,              0.0010211,              0.0010211,              0.0010211
                     40,                 1.4111,                 1.4913,                 1.3652,                0.66994,                0.87481,                0.79906,                0.51138,                 1.3607,                 1.2629,                 1.3505,              0.0010149,              0.0010149,              0.0010149
                     41,                 1.3296,                 1.4271,                 1.3191,                0.51288,                0.95471,                 0.7939,                0.45575,                 1.5366,                 1.2953,                 1.4353,              0.0010087,              0.0010087,              0.0010087
                     42,                 1.5237,                  1.796,                 1.3436,                0.57488,                0.96429,                0.82067,                0.50258,                 1.5023,                 1.3458,                 1.4471,              0.0010025,              0.0010025,              0.0010025
                     43,                  1.291,                 1.3632,                 1.2759,                0.72916,                0.75595,                0.85451,                0.52552,                 1.4445,                 1.1603,                 1.3853,             0.00099631,             0.00099631,             0.00099631
                     44,                 1.3667,                 1.3237,                 1.2767,                0.70803,                0.70758,                0.85792,                0.52862,                 1.4321,                 1.1528,                 1.3636,             0.00099013,             0.00099013,             0.00099013
                     45,                 1.3291,                  1.349,                  1.379,                0.65183,                0.93131,                0.82667,                0.53398,                 1.4177,                 1.1738,                 1.3837,             0.00098394,             0.00098394,             0.00098394
                     46,                  1.346,                 1.2808,                 1.2692,                0.64286,                0.96429,                0.83729,                 0.5239,                 1.3644,                 1.2134,                 1.3492,             0.00097775,             0.00097775,             0.00097775
                     47,                 1.3428,                 1.3317,                 1.2303,                0.63986,                 0.9124,                0.85391,                0.55266,                 1.3297,                 1.1272,                 1.3098,             0.00097156,             0.00097156,             0.00097156
                     48,                 1.2174,                 1.2323,                 1.2207,                0.64229,                0.79318,                0.85113,                0.52055,                 1.3766,                 1.2692,                 1.3196,             0.00096537,             0.00096537,             0.00096537
                     49,                 1.3324,                 1.2681,                 1.2541,                0.91097,                0.74467,                0.80431,                0.52125,                 1.3358,                 1.4983,                 1.3182,             0.00095919,             0.00095919,             0.00095919
                     50,                 1.2676,                 1.2785,                 1.2729,                0.60776,                      1,                0.87062,                0.55325,                 1.4054,                 1.0552,                 1.3532,               0.000953,               0.000953,               0.000953
                     51,                 1.2658,                  1.342,                 1.2747,                0.64978,                 0.9837,                 0.8154,                0.52759,                 1.2746,                 1.3614,                 1.2961,             0.00094681,             0.00094681,             0.00094681
                     52,                 1.2164,                 1.1982,                 1.2274,                0.65828,                0.95624,                0.78262,                0.47236,                 1.3829,                 1.1667,                 1.3288,             0.00094062,             0.00094062,             0.00094062
                     53,                 1.2803,                 1.2637,                 1.2748,                0.66584,                0.97482,                0.82301,                0.52219,                 1.3428,                 1.0841,                 1.3058,             0.00093444,             0.00093444,             0.00093444
                     54,                 1.2149,                 1.2566,                 1.2211,                0.57666,                0.96429,                0.80125,                0.50775,                 1.3348,                 1.1584,                 1.3009,             0.00092825,             0.00092825,             0.00092825
                     55,                 1.2483,                 1.2251,                 1.2264,                0.74451,                0.81842,                0.85668,                0.54147,                 1.3301,                 1.0583,                 1.3167,             0.00092206,             0.00092206,             0.00092206
                     56,                 1.2217,                 1.2147,                 1.2221,                0.64494,                0.83842,                0.83518,                0.53864,                  1.265,                 1.0587,                 1.2577,             0.00091588,             0.00091588,             0.00091588
                     57,                 1.1976,                 1.1419,                 1.2214,                0.61125,                   0.75,                0.81083,                0.54926,                 1.2503,                 1.0907,                 1.2571,             0.00090969,             0.00090969,             0.00090969
                     58,                 1.2325,                 1.1565,                 1.1893,                0.64399,                0.95833,                0.85286,                0.55216,                 1.3297,                 1.0311,                 1.2683,              0.0009035,              0.0009035,              0.0009035
                     59,                 1.2886,                 1.2884,                 1.1863,                0.82566,                 0.9327,                0.93425,                0.60199,                 1.3297,                 1.0032,                 1.3104,             0.00089731,             0.00089731,             0.00089731
                     60,                 1.3322,                 1.1911,                 1.2764,                0.70917,                 0.9727,                0.99063,                0.59583,                 1.4376,                 1.0574,                 1.3716,             0.00089112,             0.00089112,             0.00089112
                     61,                  1.176,                 1.1075,                 1.2527,                0.79713,                0.97511,                0.97437,                0.60524,                 1.2681,                 0.9714,                 1.2865,             0.00088494,             0.00088494,             0.00088494
                     62,                 1.1916,                  1.097,                 1.2231,                0.56901,                0.92909,                0.83139,                0.54921,                 1.2825,                 1.0362,                 1.2471,             0.00087875,             0.00087875,             0.00087875
                     63,                 1.1686,                 1.1144,                 1.1872,                0.67468,                0.86744,                0.85832,                 0.5638,                  1.233,                 1.0657,                 1.2315,             0.00087256,             0.00087256,             0.00087256
                     64,                 1.1294,                 1.1237,                 1.2017,                0.70829,                 0.9686,                0.86931,                0.56395,                 1.2509,                 1.0122,                 1.2447,             0.00086637,             0.00086637,             0.00086637
                     65,                 1.1425,                 1.0836,                 1.1989,                0.75851,                0.83333,                0.90813,                 0.5555,                  1.273,                 0.9995,                 1.2317,             0.00086019,             0.00086019,             0.00086019
                     66,                 1.2427,                 1.0779,                  1.169,                0.60917,                0.95313,                0.89239,                0.57557,                 1.2626,                  1.066,                 1.2475,               0.000854,               0.000854,               0.000854
                     67,                 1.1807,                 1.0988,                 1.2477,                0.68345,                0.88457,                0.87508,                0.58451,                 1.2754,                 1.0172,                 1.2556,             0.00084781,             0.00084781,             0.00084781
                     68,                 1.1454,                  1.078,                 1.1643,                0.73161,                0.94424,                0.88667,                0.60544,                 1.2079,                0.99391,                 1.2006,             0.00084162,             0.00084162,             0.00084162
                     69,                 1.1519,                 1.0004,                 1.1842,                0.75119,                0.85735,                0.94607,                0.61207,                 1.2861,                 1.0265,                 1.2168,             0.00083544,             0.00083544,             0.00083544
                     70,                 1.1829,                0.97816,                 1.1745,                 0.6177,                  0.875,                0.89951,                0.59018,                 1.3062,                 1.1108,                 1.2782,             0.00082925,             0.00082925,             0.00082925
                     71,                 1.2214,                  1.173,                 1.2287,                0.79689,                      1,                0.97792,                0.63468,                 1.3568,                  0.901,                 1.2871,             0.00082306,             0.00082306,             0.00082306
                     72,                 1.1653,                 1.0532,                 1.1465,                0.75565,                0.95833,                0.90072,                0.59483,                 1.2624,                0.91172,                 1.2147,             0.00081688,             0.00081688,             0.00081688
                     73,                 1.1898,                 1.0449,                 1.1809,                0.67265,                0.99327,                0.84946,                0.53355,                 1.2854,                 1.0539,                 1.2428,             0.00081069,             0.00081069,             0.00081069
                     74,                 1.1289,                 1.0384,                 1.1961,                0.65782,                0.92262,                0.86844,                0.57596,                 1.3086,                 1.0815,                 1.2443,              0.0008045,              0.0008045,              0.0008045
                     75,                 1.1801,                0.99229,                 1.1556,                0.67345,                0.92844,                0.89153,                0.60329,                  1.205,                0.95553,                 1.1914,             0.00079831,             0.00079831,             0.00079831
                     76,                 1.0753,                  1.082,                 1.0718,                0.70202,                 0.9399,                0.95817,                0.63637,                   1.24,                 1.0717,                 1.2277,             0.00079213,             0.00079213,             0.00079213
                     77,                 1.2054,                 1.0111,                    1.2,                0.61851,                0.91667,                0.92581,                0.62979,                 1.2532,                 1.0553,                 1.2461,             0.00078594,             0.00078594,             0.00078594
                     78,                 1.1375,                0.95682,                 1.1752,                0.78688,                0.87916,                0.88193,                0.59463,                  1.248,                0.98338,                 1.2478,             0.00077975,             0.00077975,             0.00077975
                     79,                 1.1549,                0.92949,                 1.1621,                0.64517,                0.83333,                0.79225,                0.53831,                 1.1731,                 1.2354,                 1.2046,             0.00077356,             0.00077356,             0.00077356
                     80,                 1.0979,                 1.0042,                 1.1425,                0.53864,                 0.7846,                0.79739,                0.50552,                 1.3117,                 1.8281,                 1.3011,             0.00076738,             0.00076738,             0.00076738
                     81,                 1.2397,                0.99486,                  1.214,                0.71939,                0.90238,                0.83098,                0.50638,                  1.282,                 1.2104,                 1.2621,             0.00076119,             0.00076119,             0.00076119
                     82,                 1.1245,                 1.0638,                 1.1688,                0.68532,                0.95833,                0.83583,                0.55461,                 1.2374,                 1.3628,                 1.2225,               0.000755,               0.000755,               0.000755
                     83,                 1.1304,                0.93014,                 1.1347,                0.68946,                0.94856,                 0.9124,                0.62147,                 1.1982,                 1.1922,                 1.1935,             0.00074881,             0.00074881,             0.00074881
                     84,                 1.1461,                0.96868,                 1.1555,                0.76705,                0.91489,                0.97313,                0.65094,                  1.315,                 1.1906,                 1.2663,             0.00074263,             0.00074263,             0.00074263
                     85,                 1.1212,                0.94982,                 1.1267,                0.78265,                0.88824,                0.97488,                0.64289,                 1.2452,                 1.0335,                 1.2043,             0.00073644,             0.00073644,             0.00073644
                     86,                 1.0757,                0.91752,                 1.1594,                0.82161,                   0.75,                0.83431,                0.56417,                 1.2085,                 1.2902,                 1.1988,             0.00073025,             0.00073025,             0.00073025
                     87,                 1.1286,                0.92412,                 1.1682,                0.75358,                 0.9067,                0.88421,                0.58847,                 1.1993,                0.91916,                 1.1873,             0.00072406,             0.00072406,             0.00072406
                     88,                  1.117,                0.95786,                 1.1794,                0.81088,                0.97575,                0.96792,                0.63603,                 1.2164,                0.90635,                 1.2084,             0.00071788,             0.00071788,             0.00071788
                     89,                 1.0789,                0.88418,                 1.1704,                0.66127,                0.95833,                0.82795,                0.56875,                 1.1707,                 1.1056,                 1.1896,             0.00071169,             0.00071169,             0.00071169
                     90,                 1.1518,                0.97393,                 1.1666,                0.60842,                  0.875,                0.95333,                0.64896,                 1.1917,                0.91984,                 1.2018,              0.0007055,              0.0007055,              0.0007055
                     91,                 1.0825,                0.91722,                 1.1186,                0.63517,                0.83542,                0.80303,                0.54621,                 1.1914,                 1.1436,                 1.1731,             0.00069931,             0.00069931,             0.00069931
