                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.166,                 4.4983,                 4.3049,                0.00191,                0.56378,                0.00434,                0.00116,                 2.8015,                 4.8473,                 4.1576,              0.0001125,              0.0001125,              0.0001125
                      2,                 3.0865,                 4.5047,                  4.223,                0.00207,                0.59412,                0.00439,                0.00114,                 2.7975,                 4.8465,                 4.1528,             0.00023632,             0.00023632,             0.00023632
                      3,                 3.0898,                 4.4289,                 4.1699,                0.00193,                0.56604,                0.03477,                0.00803,                   2.79,                 4.8369,                 4.1431,             0.00035891,             0.00035891,             0.00035891
                      4,                 3.1745,                 4.3585,                 4.1119,                0.00168,                0.49967,                0.05352,                0.01364,                 2.7771,                 4.8174,                 4.1172,             0.00048026,             0.00048026,             0.00048026
                      5,                 3.0315,                 4.2271,                  4.046,                0.00202,                0.59968,                0.01261,                0.00297,                 2.7628,                 4.7695,                 4.0457,             0.00060037,             0.00060037,             0.00060037
                      6,                 2.8925,                 4.0455,                 3.9105,                0.00194,                0.56484,                0.02037,                0.00417,                 2.7656,                 4.7405,                  3.976,             0.00071925,             0.00071925,             0.00071925
                      7,                 2.9735,                 3.8909,                 3.8342,                0.00197,                0.58061,                0.02003,                0.00399,                 2.7649,                  4.664,                 3.9718,             0.00083688,             0.00083688,             0.00083688
                      8,                 3.0232,                 3.8821,                 3.7575,                0.00199,                0.59186,                 0.0049,                0.00132,                 2.7463,                 4.5648,                  4.006,             0.00095328,             0.00095328,             0.00095328
                      9,                 3.0544,                 3.8205,                  3.701,                0.00259,                0.55493,                0.00224,                0.00074,                 3.0202,                 4.5333,                 4.3744,              0.0010684,              0.0010684,              0.0010684
                     10,                  2.886,                 3.7955,                  3.602,                0.50737,                0.05556,                0.03879,                0.00545,                  2.815,                 4.1891,                 3.8295,              0.0011824,              0.0011824,              0.0011824
                     11,                 2.8697,                 3.6555,                  3.517,                0.51668,                0.09174,                0.02954,                0.00498,                 2.7142,                 4.7166,                 3.8388,              0.0011881,              0.0011881,              0.0011881
                     12,                 2.8474,                 3.5475,                 3.4686,                 0.2559,                0.11046,                 0.0255,                0.00359,                 2.7427,                 4.9506,                 3.7738,              0.0011881,              0.0011881,              0.0011881
                     13,                 2.7902,                 3.4869,                 3.3681,                0.00599,                0.55334,                0.03473,                0.00741,                 2.7929,                 4.2811,                 3.6881,              0.0011819,              0.0011819,              0.0011819
                     14,                 2.6542,                 3.4489,                 3.2909,                0.12027,                0.05405,                 0.0471,                0.02799,                 2.7811,                 9.6306,                  3.702,              0.0011757,              0.0011757,              0.0011757
                     15,                 2.7006,                  3.306,                  3.233,                0.62644,                0.05405,                 0.0588,                0.02961,                 2.6951,                 4.9787,                  3.797,              0.0011696,              0.0011696,              0.0011696
                     16,                 2.5994,                 3.4165,                 3.1998,                0.09285,                0.23449,                0.09821,                0.03844,                  2.659,                 21.646,                 3.6297,              0.0011634,              0.0011634,              0.0011634
                     17,                 2.3682,                 3.1405,                 3.1007,                0.09304,                0.25676,                0.15103,                0.06648,                 2.4752,                 10.904,                 3.3702,              0.0011572,              0.0011572,              0.0011572
                     18,                 2.4534,                  3.152,                 3.0684,                0.06153,                0.36094,                0.11317,                0.04835,                 2.3851,                 4.7512,                 3.2277,               0.001151,               0.001151,               0.001151
                     19,                 2.2331,                 2.9953,                 3.0072,                0.19121,                0.11816,                 0.1502,                0.07248,                 2.3062,                 13.005,                 3.2777,              0.0011448,              0.0011448,              0.0011448
                     20,                 2.3046,                 3.0037,                 2.9975,                0.15984,                0.14623,                0.10253,                0.03287,                 2.1368,                 3.9116,                 3.4364,              0.0011386,              0.0011386,              0.0011386
                     21,                 2.1765,                 2.8099,                 2.9136,                0.36174,                0.30185,                0.28268,                0.12887,                 1.9674,                 3.3333,                 2.9923,              0.0011324,              0.0011324,              0.0011324
                     22,                 2.1884,                 2.8413,                 2.8545,                0.47734,                 0.2492,                0.26386,                0.09171,                  2.377,                 4.4325,                 3.8604,              0.0011263,              0.0011263,              0.0011263
                     23,                 2.1792,                 2.8583,                 2.8996,                0.16578,                0.22104,                0.12081,                 0.0508,                 2.1255,                  3.834,                 3.0972,              0.0011201,              0.0011201,              0.0011201
                     24,                 2.1576,                 2.7323,                 2.8573,                0.28912,                0.42253,                0.22116,                0.10116,                 2.2952,                 9.1818,                 3.8166,              0.0011139,              0.0011139,              0.0011139
                     25,                  2.065,                 2.7482,                 2.8425,                0.25033,                0.42901,                0.27197,                0.10072,                  2.197,                 4.8849,                 3.2915,              0.0011077,              0.0011077,              0.0011077
                     26,                 2.1183,                 2.8015,                 2.8531,                0.26867,                 0.4182,                0.36147,                0.14511,                 2.1082,                 3.4243,                  3.028,              0.0011015,              0.0011015,              0.0011015
                     27,                 2.0979,                  2.649,                 2.7961,                0.19865,                0.61173,                0.34663,                0.16975,                 1.8416,                  4.892,                  2.866,              0.0010953,              0.0010953,              0.0010953
                     28,                 1.9884,                 2.6759,                 2.7261,                0.26352,                  0.682,                0.33344,                0.14459,                 1.9591,                 4.9718,                 2.9781,              0.0010891,              0.0010891,              0.0010891
