                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9044,                 3.7378,                 4.2808,                 0.0032,                0.96078,                0.01146,                0.00368,                 2.3803,                 3.9374,                 4.1586,                  6e-05,                  6e-05,                  6e-05
                      2,                 3.0945,                 3.7016,                 4.2788,                 0.0032,                0.96078,                0.02571,                0.00725,                 2.3794,                 3.9392,                 4.1578,             0.00011228,             0.00011228,             0.00011228
                      3,                 2.8973,                 3.6044,                 4.1975,                0.00327,                0.98039,                0.03741,                0.00905,                 2.3784,                 3.9397,                 4.1561,             0.00013288,             0.00013288,             0.00013288
                      4,                 2.9564,                 3.4636,                 4.1729,                0.00327,                0.98039,                0.04181,                0.01014,                 2.3777,                 3.9403,                 4.1532,              0.0001218,              0.0001218,              0.0001218
                      5,                 3.0144,                 3.6307,                 4.1868,                0.00327,                0.98039,                0.03065,                 0.0073,                 2.3756,                 3.9441,                 4.1509,              7.904e-05,              7.904e-05,              7.904e-05
