                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.166,                 4.4983,                 4.3049,                0.00269,                   0.75,                0.01208,                0.00449,                 2.5576,                 4.5729,                 4.1579,              0.0001125,              0.0001125,              0.0001125
                      2,                 3.0883,                 4.5126,                 4.2223,                0.00294,                   0.75,                0.01278,                0.00401,                 2.5531,                 4.5667,                 4.1521,             0.00015913,             0.00015913,             0.00015913
                      3,                 3.1103,                  4.445,                 4.1985,                0.00297,                   0.75,                0.01291,                0.00416,                 2.5457,                 4.5549,                  4.143,             0.00012325,             0.00012325,             0.00012325
