                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.08823,                0.96341,                      1,                0.77596,             0.00062211,             0.00062211,             0.00062211
                     68,                0.08762,                0.95122,                      1,                 0.8103,             0.00062069,             0.00062069,             0.00062069
                     69,                0.10062,                0.95122,                      1,                0.83553,             0.00061928,             0.00061928,             0.00061928
                     70,                0.09052,                0.96341,                      1,                0.78052,             0.00061787,             0.00061787,             0.00061787
                     71,                0.09618,                0.96341,                      1,                0.78198,             0.00061645,             0.00061645,             0.00061645
                     72,                0.11382,                0.82927,                      1,                0.94588,             0.00061504,             0.00061504,             0.00061504
                     73,                0.10212,                0.92073,                      1,                0.85164,             0.00061363,             0.00061363,             0.00061363
                     74,                0.09135,                0.93293,                      1,                0.81657,             0.00061221,             0.00061221,             0.00061221
                     75,                0.05655,                0.96951,                      1,                0.77148,              0.0006108,              0.0006108,              0.0006108
                     76,                0.07813,                0.92683,                      1,                0.80054,             0.00060938,             0.00060938,             0.00060938
                     77,                 0.0771,                0.92683,                      1,                0.80094,             0.00060797,             0.00060797,             0.00060797
                     78,                0.07525,                0.93902,                      1,                0.80916,             0.00060656,             0.00060656,             0.00060656
                     79,                0.06728,                0.93902,                      1,                0.83545,             0.00060514,             0.00060514,             0.00060514
                     80,                0.10517,                0.91463,                      1,                0.81901,             0.00060373,             0.00060373,             0.00060373
                     81,                0.10256,                0.95122,                      1,                0.79924,             0.00060232,             0.00060232,             0.00060232
                     82,                0.09258,                0.92073,                      1,                0.82064,              0.0006009,              0.0006009,              0.0006009
                     83,                 0.0764,                0.89634,                      1,                0.82829,             0.00059949,             0.00059949,             0.00059949
                     84,                0.08998,                0.96341,                      1,                0.78654,             0.00059807,             0.00059807,             0.00059807
                     85,                0.08679,                0.84756,                      1,                0.88778,             0.00059666,             0.00059666,             0.00059666
                     86,                 0.0697,                0.90854,                      1,                0.82267,             0.00059525,             0.00059525,             0.00059525
                     87,                0.06699,                0.96341,                      1,                0.78109,             0.00059383,             0.00059383,             0.00059383
                     88,                0.09658,                0.95732,                      1,                0.79102,             0.00059242,             0.00059242,             0.00059242
                     89,                 0.1055,                0.93902,                      1,                0.82992,             0.00059101,             0.00059101,             0.00059101
                     90,                0.10241,                0.93293,                      1,                0.80949,             0.00058959,             0.00058959,             0.00058959
                     91,                 0.0734,                0.94512,                      1,                0.83805,             0.00058818,             0.00058818,             0.00058818
                     92,                0.08133,                0.96951,                      1,                0.78581,             0.00058677,             0.00058677,             0.00058677
                     93,                0.06586,                0.90244,                      1,                0.82202,             0.00058535,             0.00058535,             0.00058535
                     94,                0.08997,                0.91463,                      1,                0.81421,             0.00058394,             0.00058394,             0.00058394
                     95,                0.08152,                0.92683,                      1,                0.86165,             0.00058252,             0.00058252,             0.00058252
                     96,                0.09847,                0.93902,                      1,                0.79053,             0.00058111,             0.00058111,             0.00058111
                     97,                0.07098,                0.93902,                      1,                0.79915,              0.0005797,              0.0005797,              0.0005797
                     98,                0.06508,                0.89024,                      1,                0.85205,             0.00057828,             0.00057828,             0.00057828
                     99,                0.08937,                0.86585,                      1,                0.89901,             0.00057687,             0.00057687,             0.00057687
                    100,                0.06439,                0.93902,                      1,                0.84163,             0.00057546,             0.00057546,             0.00057546
                    101,                0.06083,                0.93293,                      1,                0.80322,             0.00057404,             0.00057404,             0.00057404
                    102,                0.07101,                0.89024,                      1,                0.82967,             0.00057263,             0.00057263,             0.00057263
                    103,                0.07576,                0.93293,                      1,                0.80078,             0.00057121,             0.00057121,             0.00057121
                    104,                0.08718,                0.89634,                      1,                 0.8527,              0.0005698,              0.0005698,              0.0005698
                    105,                 0.0649,                0.95732,                      1,                 0.7832,             0.00056839,             0.00056839,             0.00056839
                    106,                0.06903,                0.94512,                      1,                0.80501,             0.00056697,             0.00056697,             0.00056697
                    107,                0.06611,                0.94512,                      1,                 0.8068,             0.00056556,             0.00056556,             0.00056556
                    108,                0.06466,                0.92683,                      1,                0.81226,             0.00056415,             0.00056415,             0.00056415
                    109,                0.07881,                0.95122,                      1,                0.78385,             0.00056273,             0.00056273,             0.00056273
                    110,                0.07637,                0.91463,                      1,                0.82015,             0.00056132,             0.00056132,             0.00056132
