                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5037,                  1.626,                 1.3462,                 0.6682,                0.69782,                0.76028,                0.42911,                 1.5533,                 1.7082,                  1.442,              0.0011683,              0.0011683,              0.0011683
                     36,                 1.3496,                 1.4509,                 1.3199,                0.58342,                0.83107,                0.78074,                0.48381,                 1.5968,                  1.354,                 1.4716,              0.0011658,              0.0011658,              0.0011658
                     37,                 1.4729,                 1.5151,                 1.3713,                0.57419,                0.95678,                 0.7817,                0.48309,                 1.3539,                 1.4002,                 1.3438,              0.0011634,              0.0011634,              0.0011634
                     38,                 1.3434,                 1.4545,                 1.3437,                0.63417,                0.86711,                0.75603,                0.48491,                 1.3593,                 1.4725,                 1.3574,              0.0011609,              0.0011609,              0.0011609
                     39,                   1.31,                  1.368,                 1.3294,                0.59275,                0.85506,                0.78211,                0.49443,                 1.2745,                 1.3602,                 1.3285,              0.0011584,              0.0011584,              0.0011584
                     40,                 1.3796,                  1.434,                 1.3507,                0.71978,                0.97861,                0.78135,                0.49257,                 1.3328,                 1.2906,                 1.3648,              0.0011559,              0.0011559,              0.0011559
                     41,                 1.3036,                  1.379,                 1.3238,                0.60629,                 0.9508,                0.80625,                 0.4828,                 1.3966,                 1.2439,                 1.3878,              0.0011535,              0.0011535,              0.0011535
                     42,                 1.4616,                 1.7449,                 1.3279,                0.53038,                0.87366,                0.76421,                0.45252,                 1.5701,                 1.3094,                 1.4507,               0.001151,               0.001151,               0.001151
                     43,                 1.2977,                 1.3429,                   1.27,                  0.504,                0.68452,                0.78927,                0.49537,                 1.4358,                 1.3461,                 1.3627,              0.0011485,              0.0011485,              0.0011485
                     44,                  1.334,                 1.2481,                  1.254,                0.80435,                0.75595,                0.87854,                0.53549,                 1.4847,                 1.2459,                 1.3598,              0.0011461,              0.0011461,              0.0011461
                     45,                 1.2753,                 1.3063,                 1.3571,                0.61007,                0.90532,                0.82496,                0.50298,                 1.4109,                 1.1364,                 1.3709,              0.0011436,              0.0011436,              0.0011436
                     46,                 1.2559,                 1.2069,                 1.2253,                0.66909,                0.84033,                  0.814,                 0.5084,                 1.2977,                 1.3077,                 1.2858,              0.0011411,              0.0011411,              0.0011411
                     47,                 1.2835,                 1.2569,                 1.2054,                0.76481,                0.80543,                0.89211,                0.56296,                 1.2896,                 1.2213,                 1.2691,              0.0011386,              0.0011386,              0.0011386
                     48,                 1.1865,                 1.1161,                 1.2031,                0.69355,                0.83625,                0.90578,                0.58071,                 1.3493,                  1.113,                 1.3112,              0.0011362,              0.0011362,              0.0011362
                     49,                 1.3067,                   1.23,                 1.2215,                0.87033,                0.73897,                0.87253,                0.57341,                 1.2161,                  1.145,                  1.231,              0.0011337,              0.0011337,              0.0011337
                     50,                 1.2238,                 1.2234,                 1.2441,                0.68423,                0.82648,                0.82475,                0.49426,                 1.5066,                 1.1245,                 1.3941,              0.0011312,              0.0011312,              0.0011312
                     51,                 1.2502,                 1.2531,                 1.2569,                0.65324,                0.88666,                0.82167,                0.48544,                 1.3466,                 1.2367,                 1.2822,              0.0011287,              0.0011287,              0.0011287
                     52,                 1.2325,                 1.1328,                 1.2232,                0.57848,                0.92778,                 0.7588,                0.49146,                 1.3679,                 1.1491,                 1.3153,              0.0011263,              0.0011263,              0.0011263
                     53,                 1.2616,                 1.1657,                 1.2507,                0.58567,                0.92183,                0.84668,                0.54885,                 1.3033,                 1.1207,                 1.2716,              0.0011238,              0.0011238,              0.0011238
                     54,                 1.1867,                 1.1784,                 1.2172,                 0.7402,                0.85119,                0.85881,                0.54257,                 1.3745,                 1.1069,                 1.3025,              0.0011213,              0.0011213,              0.0011213
                     55,                 1.1881,                 1.1566,                 1.1947,                0.54241,                 0.7882,                 0.7816,                0.46741,                 1.3661,                 1.5632,                 1.3084,              0.0011188,              0.0011188,              0.0011188
                     56,                 1.2297,                 1.1798,                 1.2275,                0.55069,                0.90659,                0.78932,                0.51726,                 1.3415,                 1.0866,                 1.2705,              0.0011164,              0.0011164,              0.0011164
                     57,                 1.1904,                 1.0845,                   1.22,                0.90909,                0.70833,                0.79817,                0.51966,                 1.3174,                 1.1207,                 1.2806,              0.0011139,              0.0011139,              0.0011139
                     58,                 1.2001,                 1.1663,                 1.1766,                0.64352,                0.89286,                0.83283,                0.50227,                 1.4107,                 1.7293,                 1.3451,              0.0011114,              0.0011114,              0.0011114
                     59,                 1.2881,                 1.3357,                 1.1851,                0.76504,                0.86195,                 0.9118,                0.56081,                 1.2884,                 1.2554,                  1.302,              0.0011089,              0.0011089,              0.0011089
                     60,                 1.3048,                 1.2096,                 1.2655,                0.75409,                0.90789,                0.91982,                0.52502,                 1.4784,                 1.3911,                 1.3831,              0.0011065,              0.0011065,              0.0011065
                     61,                 1.1754,                 1.1251,                 1.2474,                  0.762,                0.95833,                0.85729,                0.53031,                   1.34,                 1.2003,                 1.2529,               0.001104,               0.001104,               0.001104
                     62,                 1.2168,                 1.1306,                 1.2269,                0.71511,                 0.8608,                0.91532,                0.55952,                 1.3216,                 1.1353,                 1.2675,              0.0011015,              0.0011015,              0.0011015
                     63,                 1.2185,                 1.1074,                 1.2013,                0.80841,                0.72303,                0.92044,                0.58398,                 1.2744,                 1.5241,                 1.2335,               0.001099,               0.001099,               0.001099
                     64,                 1.1568,                 1.1049,                 1.2078,                0.81793,                0.86252,                0.86781,                0.58239,                 1.2106,                 1.1193,                  1.202,              0.0010965,              0.0010965,              0.0010965
                     65,                 1.1616,                 1.0902,                 1.2154,                0.71375,                0.93447,                0.86776,                0.59366,                 1.2407,                 1.1332,                 1.2137,              0.0010941,              0.0010941,              0.0010941
                     66,                  1.251,                 1.0564,                 1.1746,                0.67183,                0.85186,                0.80209,                0.52902,                 1.2378,                 1.3189,                 1.2076,              0.0010916,              0.0010916,              0.0010916
                     67,                 1.2085,                 1.1532,                 1.2506,                0.64365,                0.92095,                0.86835,                0.54492,                 1.3303,                 1.1355,                 1.2519,              0.0010891,              0.0010891,              0.0010891
                     68,                 1.1527,                 1.0806,                 1.1632,                0.88809,                0.74146,                0.86491,                0.58274,                 1.1983,                 1.0969,                 1.2054,              0.0010866,              0.0010866,              0.0010866
                     69,                 1.1662,                 1.0318,                 1.1981,                0.87724,                0.67601,                0.88125,                 0.5687,                 1.3105,                 1.1432,                  1.266,              0.0010842,              0.0010842,              0.0010842
                     70,                 1.1381,                0.97957,                 1.1598,                0.64247,                0.94423,                0.86921,                0.56566,                 1.2915,                 1.1952,                 1.2552,              0.0010817,              0.0010817,              0.0010817
                     71,                 1.2594,                 1.2267,                  1.265,                0.64769,                0.91809,                0.80542,                0.50023,                   1.28,                 1.2111,                 1.2331,              0.0010792,              0.0010792,              0.0010792
                     72,                 1.1488,                 1.0651,                 1.1382,                0.59634,                  0.875,                0.81253,                0.52834,                 1.2257,                 1.1493,                 1.2253,              0.0010768,              0.0010768,              0.0010768
                     73,                 1.1668,                 1.0689,                 1.1746,                0.62975,                0.79167,                0.86856,                0.56468,                 1.2338,                 1.0117,                 1.2296,              0.0010743,              0.0010743,              0.0010743
                     74,                 1.1184,                 1.0163,                 1.1944,                0.67293,                      1,                0.80406,                0.54023,                  1.266,                0.99521,                 1.2179,              0.0010718,              0.0010718,              0.0010718
                     75,                  1.189,                0.99786,                 1.1726,                0.70484,                   0.75,                0.86832,                0.55602,                 1.3168,                 1.4478,                 1.2666,              0.0010693,              0.0010693,              0.0010693
                     76,                 1.0566,                 1.0593,                 1.0767,                0.61687,                0.78089,                0.79746,                0.50848,                 1.1926,                 1.3911,                 1.1877,              0.0010669,              0.0010669,              0.0010669
                     77,                 1.1801,                0.97622,                 1.2013,                0.63754,                0.95833,                0.80189,                  0.535,                 1.2418,                 1.1365,                 1.2101,              0.0010644,              0.0010644,              0.0010644
                     78,                 1.1234,                 0.9738,                 1.1601,                0.74062,                      1,                0.91009,                0.61131,                 1.2046,                0.90016,                 1.1928,              0.0010619,              0.0010619,              0.0010619
                     79,                 1.1475,                 0.9515,                 1.1654,                0.74613,                0.98735,                0.88117,                0.57346,                 1.2672,                0.91196,                 1.2218,              0.0010594,              0.0010594,              0.0010594
                     80,                 1.0865,                0.94689,                 1.1355,                0.69832,                0.88095,                0.85682,                0.56045,                 1.2557,                 1.1092,                 1.2239,               0.001057,               0.001057,               0.001057
                     81,                 1.2238,                0.97065,                 1.2098,                0.63531,                0.92713,                0.82509,                0.50439,                 1.3391,                 1.2395,                 1.2456,              0.0010545,              0.0010545,              0.0010545
                     82,                 1.1228,                0.99193,                 1.1639,                0.72373,                0.69144,                0.78413,                0.54646,                 1.1348,                 1.4814,                 1.1693,               0.001052,               0.001052,               0.001052
                     83,                 1.1369,                0.96093,                 1.1366,                0.72332,                0.83957,                0.86681,                0.60221,                 1.2115,                0.95259,                 1.1846,              0.0010495,              0.0010495,              0.0010495
                     84,                 1.1601,                0.98033,                 1.1844,                0.55197,                0.85812,                 0.9128,                 0.5993,                  1.236,                 1.2132,                 1.2433,               0.001047,               0.001047,               0.001047
                     85,                 1.1165,                0.88667,                 1.1235,                0.63717,                 0.8626,                0.84031,                0.56081,                 1.2441,                 1.4809,                 1.1848,              0.0010446,              0.0010446,              0.0010446
                     86,                 1.1138,                0.90544,                 1.1778,                0.75595,                  0.875,                0.93543,                0.56964,                 1.3336,                 1.1889,                 1.2541,              0.0010421,              0.0010421,              0.0010421
                     87,                 1.1462,                0.89512,                 1.1761,                0.86275,                0.77245,                0.93202,                0.64298,                 1.2041,                0.92339,                 1.2019,              0.0010396,              0.0010396,              0.0010396
                     88,                 1.1171,                0.94579,                 1.1806,                0.84811,                0.80087,                0.93536,                0.58494,                 1.3399,                0.93855,                 1.2648,              0.0010372,              0.0010372,              0.0010372
                     89,                 1.0915,                0.87405,                 1.1626,                 0.6312,                0.93181,                0.78116,                0.52207,                 1.2355,                 1.0206,                  1.204,              0.0010347,              0.0010347,              0.0010347
                     90,                 1.1684,                 0.9623,                 1.1677,                0.66977,                0.96819,                0.82074,                0.48367,                 1.3328,                0.92138,                 1.2305,              0.0010322,              0.0010322,              0.0010322
                     91,                 1.0842,                0.88017,                 1.1197,                0.65241,                0.79167,                 0.7088,                0.44989,                  1.313,                 1.3573,                 1.2395,              0.0010297,              0.0010297,              0.0010297
                     92,                 1.0942,                 0.9021,                 1.0814,                0.70883,                0.69455,                0.73667,                0.48262,                 1.3421,                 1.2495,                 1.2838,              0.0010273,              0.0010273,              0.0010273
                     93,                 1.1553,                0.87868,                  1.172,                0.74797,                  0.875,                0.84472,                 0.5921,                 1.2036,                 0.9363,                 1.2035,              0.0010248,              0.0010248,              0.0010248
                     94,                 1.1066,                0.86677,                 1.1089,                0.71481,                0.91958,                0.93051,                0.60827,                 1.3018,                  1.011,                   1.23,              0.0010223,              0.0010223,              0.0010223
                     95,                 1.0484,                0.84958,                 1.1714,                0.65913,                0.87129,                0.92991,                0.54558,                  1.353,                 1.0379,                 1.2605,              0.0010198,              0.0010198,              0.0010198
                     96,                 1.1767,                0.89874,                 1.1707,                0.73378,                0.81313,                0.91642,                0.55585,                 1.3283,                 1.4065,                 1.2439,              0.0010173,              0.0010173,              0.0010173
                     97,                 1.1111,                0.90543,                 1.1342,                0.78948,                0.75595,                0.86634,                0.58477,                 1.1972,                 1.3543,                 1.1866,              0.0010149,              0.0010149,              0.0010149
                     98,                 1.1115,                0.86001,                 1.1451,                0.58406,                0.95677,                 0.7697,                 0.4936,                 1.2803,                 1.0415,                 1.2466,              0.0010124,              0.0010124,              0.0010124
                     99,                 1.0732,                 0.8312,                 1.1369,                0.74967,                0.81001,                0.86137,                0.56364,                 1.3243,                0.96307,                 1.2338,              0.0010099,              0.0010099,              0.0010099
                    100,                 1.1408,                0.84242,                 1.2202,                0.68627,                0.76967,                0.83399,                0.53448,                 1.2436,                 1.2565,                  1.249,              0.0010075,              0.0010075,              0.0010075
                    101,                 1.1422,                0.83255,                 1.1283,                0.73656,                0.77801,                 0.7658,                0.50188,                 1.3153,                 1.1453,                 1.2408,               0.001005,               0.001005,               0.001005
                    102,                 1.1117,                0.83856,                 1.1493,                0.75414,                0.83333,                0.83716,                0.57878,                 1.2128,                  1.014,                 1.2096,              0.0010025,              0.0010025,              0.0010025
                    103,                  1.057,                0.77002,                 1.1356,                0.73809,                0.81791,                 0.8519,                0.58266,                 1.2233,                 1.0729,                 1.1941,                  0.001,                  0.001,                  0.001
                    104,                 1.0568,                0.78006,                 1.0982,                0.70462,                0.83867,                0.81974,                0.52501,                 1.3121,                 1.2721,                 1.2341,             0.00099755,             0.00099755,             0.00099755
                    105,                  1.125,                0.81814,                 1.1214,                0.65879,                0.82383,                0.78788,                0.51587,                 1.2188,                 1.1498,                  1.212,             0.00099507,             0.00099507,             0.00099507
                    106,                 1.0432,                0.82051,                  1.105,                0.71152,                0.82808,                0.89427,                0.59811,                 1.1745,                 1.1068,                 1.1674,              0.0009926,              0.0009926,              0.0009926
                    107,                 1.0826,                0.82144,                  1.128,                0.67936,                0.87019,                0.84082,                0.52143,                 1.3224,                 1.0268,                 1.2377,             0.00099013,             0.00099013,             0.00099013
                    108,                 1.1029,                0.80373,                 1.1236,                0.81811,                   0.75,                0.94114,                0.62374,                 1.2227,                 1.2978,                 1.2118,             0.00098765,             0.00098765,             0.00098765
                    109,                 1.0188,                0.83932,                    1.1,                0.67446,                0.90472,                0.85417,                0.55061,                 1.1689,                 1.0987,                 1.1687,             0.00098518,             0.00098518,             0.00098518
                    110,                 1.0287,                0.74186,                  1.083,                 0.7651,                0.89377,                0.90577,                0.60242,                 1.2199,                 1.0566,                 1.1998,              0.0009827,              0.0009827,              0.0009827
